,ds,y
0,2013-01-01,0.0
1,2013-01-02,23720.568981999997
2,2013-01-03,17329.638
3,2013-01-04,15771.261981
4,2013-01-05,22380.07204
5,2013-01-06,28213.253996
6,2013-01-07,15162.97298
7,2013-01-08,13833.953000000001
8,2013-01-09,13791.857
9,2013-01-10,10665.907
10,2013-01-11,13626.280999999999
11,2013-01-12,17465.794004
12,2013-01-13,24883.324009999997
13,2013-01-14,13094.55
14,2013-01-15,13677.601006
15,2013-01-16,16290.298999999999
16,2013-01-17,11824.479
17,2013-01-18,13403.509979999999
18,2013-01-19,21390.997978
19,2013-01-20,24395.139000000003
20,2013-01-21,14120.046
21,2013-01-22,12496.40899
22,2013-01-23,14569.807998
23,2013-01-24,10601.726
24,2013-01-25,13080.240996
25,2013-01-26,19304.732003999998
26,2013-01-27,22909.45
27,2013-01-28,12840.22798
28,2013-01-29,11253.152001
29,2013-01-30,12996.348999999998
30,2013-01-31,11376.991
31,2013-02-01,16592.277
32,2013-02-02,23465.746
33,2013-02-03,24117.188997999998
34,2013-02-04,13735.884
35,2013-02-05,13427.913
36,2013-02-06,14219.30201
37,2013-02-07,10637.476971
38,2013-02-08,13250.294978
39,2013-02-09,15312.71803
40,2013-02-10,11829.663019
41,2013-02-11,12192.72301
42,2013-02-12,15015.325
43,2013-02-13,13118.085
44,2013-02-14,11437.743009999998
45,2013-02-15,14473.04998
46,2013-02-16,22243.481
47,2013-02-17,21660.792
48,2013-02-18,15374.52002
49,2013-02-19,12784.074
50,2013-02-20,13988.625998
51,2013-02-21,11154.032
52,2013-02-22,12464.141
53,2013-02-23,18450.06198
54,2013-02-24,24417.385995999997
55,2013-02-25,14774.178
56,2013-02-26,11081.373004000001
57,2013-02-27,13833.458999999999
58,2013-02-28,10687.586
59,2013-03-01,15855.972004
60,2013-03-02,25643.69803
61,2013-03-03,28741.585
62,2013-03-04,16898.611996
63,2013-03-05,14130.107
64,2013-03-06,15179.083002
65,2013-03-07,12278.685
66,2013-03-08,13186.36
67,2013-03-09,19536.163996
68,2013-03-10,24197.906
69,2013-03-11,13840.109011
70,2013-03-12,11451.957000999999
71,2013-03-13,13934.048999999999
72,2013-03-14,9791.585
73,2013-03-15,13706.718004999999
74,2013-03-16,21422.09498
75,2013-03-17,26084.79599
76,2013-03-18,13284.423999999999
77,2013-03-19,12627.824001
78,2013-03-20,14364.464
79,2013-03-21,11193.238000000001
80,2013-03-22,13109.240999999998
81,2013-03-23,21306.367976
82,2013-03-24,23633.747
83,2013-03-25,13398.815994
84,2013-03-26,11336.225999999999
85,2013-03-27,14622.08699
86,2013-03-28,14467.749991
87,2013-03-29,15414.554
88,2013-03-30,19045.44898
89,2013-03-31,24860.39801
90,2013-04-01,19263.22298
91,2013-04-02,15841.734980000001
92,2013-04-03,17652.463
93,2013-04-04,12374.345017
94,2013-04-05,14532.680980000001
95,2013-04-06,23225.87402
96,2013-04-07,27534.318001
97,2013-04-08,15663.32798
98,2013-04-09,12568.234988
99,2013-04-10,14099.651000000002
100,2013-04-11,10918.312
101,2013-04-12,13110.99
102,2013-04-13,19956.515
103,2013-04-14,24804.108
104,2013-04-15,14643.506005000001
105,2013-04-16,14081.131000000001
106,2013-04-17,15722.623
107,2013-04-18,11137.569
108,2013-04-19,13633.936000000002
109,2013-04-20,19898.292
110,2013-04-21,25407.229
111,2013-04-22,14681.109011
112,2013-04-23,13210.322
113,2013-04-24,14415.49801
114,2013-04-25,11510.598020000001
115,2013-04-26,12705.21902
116,2013-04-27,19396.724018
117,2013-04-28,23996.105
118,2013-04-29,13195.133
119,2013-04-30,12151.51799
120,2013-05-01,22351.400999999998
121,2013-05-02,13672.471000000001
122,2013-05-03,16223.598
123,2013-05-04,22907.049997000002
124,2013-05-05,28088.89496
125,2013-05-06,16531.022
126,2013-05-07,12982.103004
127,2013-05-08,15021.947
128,2013-05-09,11249.304995
129,2013-05-10,14463.761999999999
130,2013-05-11,22889.93
131,2013-05-12,18983.415002
132,2013-05-13,15222.583
133,2013-05-14,12286.83201
134,2013-05-15,14589.048020999999
135,2013-05-16,12817.95002
136,2013-05-17,13951.48502
137,2013-05-18,21223.544
138,2013-05-19,23956.155002
139,2013-05-20,15581.664
140,2013-05-21,11873.809991
141,2013-05-22,12103.273998
142,2013-05-23,12515.635
143,2013-05-24,17072.126002
144,2013-05-25,17873.054969999997
145,2013-05-26,20801.937995
146,2013-05-27,14161.26598
147,2013-05-28,12646.522000999998
148,2013-05-29,14042.257000000001
